feature,image,centroid_x,centroid_y
star,multiple_streaks.jpg,1094.0,361.0
star,multiple_streaks.jpg,997.0,572.0
star,multiple_streaks.jpg,484.0,812.0
star,multiple_streaks.jpg,1118.0,505.0
star,multiple_streaks.jpg,244.0,533.0
star,multiple_streaks.jpg,333.0,644.0
star,multiple_streaks.jpg,533.0,613.0
star,multiple_streaks.jpg,648.0,778.0
star,multiple_streaks.jpg,841.0,246.0
star,multiple_streaks.jpg,127.0,807.0
star,multiple_streaks.jpg,932.0,640.0
star,multiple_streaks.jpg,786.0,372.0
star,multiple_streaks.jpg,743.0,526.0
star,multiple_streaks.jpg,47.0,813.0
star,multiple_streaks.jpg,321.0,738.0
star,multiple_streaks.jpg,1035.0,410.0
star,multiple_streaks.jpg,1196.0,43.0
star,multiple_streaks.jpg,254.0,837.0
star,multiple_streaks.jpg,665.0,489.0
star,multiple_streaks.jpg,997.0,167.0
star,multiple_streaks.jpg,1102.0,237.0
star,multiple_streaks.jpg,164.0,816.0
star,multiple_streaks.jpg,559.0,528.0
star,multiple_streaks.jpg,656.0,84.0
star,multiple_streaks.jpg,1074.0,263.0
star,multiple_streaks.jpg,1168.0,466.0
star,multiple_streaks.jpg,887.0,385.0
star,multiple_streaks.jpg,1091.0,400.0
star,multiple_streaks.jpg,729.0,665.0
star,multiple_streaks.jpg,69.0,325.0
star,multiple_streaks.jpg,673.0,602.0
star,multiple_streaks.jpg,983.0,451.0
star,multiple_streaks.jpg,984.0,145.0
star,multiple_streaks.jpg,562.0,711.0
star,multiple_streaks.jpg,1024.0,93.0
star,multiple_streaks.jpg,420.0,338.0
star,multiple_streaks.jpg,412.0,223.0
star,multiple_streaks.jpg,876.0,121.0
star,multiple_streaks.jpg,475.0,80.0
star,multiple_streaks.jpg,1201.0,235.0
star,multiple_streaks.jpg,163.0,216.0
star,multiple_streaks.jpg,323.0,344.0
star,multiple_streaks.jpg,863.0,510.0
star,multiple_streaks.jpg,256.0,68.0
star,multiple_streaks.jpg,55.0,338.0
star,multiple_streaks.jpg,32.0,198.0
star,multiple_streaks.jpg,1027.0,165.0
star,multiple_streaks.jpg,154.0,19.0
star,multiple_streaks.jpg,149.0,53.0
star,multiple_streaks.jpg,325.0,47.0
star,multiple_streaks.jpg,1211.0,814.0
star,multiple_streaks.jpg,124.0,51.0
star,multiple_streaks.jpg,177.0,401.0
star,multiple_streaks.jpg,51.0,51.0
star,multiple_streaks.jpg,841.0,492.0
star,multiple_streaks.jpg,247.0,294.0
star,multiple_streaks.jpg,179.0,372.0
star,multiple_streaks.jpg,1043.0,638.0
star,multiple_streaks.jpg,11.0,190.0
star,multiple_streaks.jpg,410.0,17.0
star,multiple_streaks.jpg,1136.0,193.0
star,multiple_streaks.jpg,751.0,134.0
star,multiple_streaks.jpg,551.0,303.0
star,multiple_streaks.jpg,175.0,3.0
star,multiple_streaks.jpg,605.0,34.0
star,multiple_streaks.jpg,54.0,18.0
star,multiple_streaks.jpg,156.0,302.0
star,multiple_streaks.jpg,783.0,116.0
star,multiple_streaks.jpg,649.0,824.0
star,multiple_streaks.jpg,60.0,52.0
star,multiple_streaks.jpg,698.0,757.0
star,multiple_streaks.jpg,168.0,222.0
star,multiple_streaks.jpg,741.0,360.0
star,multiple_streaks.jpg,966.0,337.0
star,multiple_streaks.jpg,561.0,301.0
star,multiple_streaks.jpg,317.0,596.0
star,multiple_streaks.jpg,672.0,750.0
star,multiple_streaks.jpg,418.0,285.0
star,multiple_streaks.jpg,844.0,212.0
star,multiple_streaks.jpg,117.0,769.0
star,multiple_streaks.jpg,483.0,597.0
star,multiple_streaks.jpg,227.0,333.0
star,multiple_streaks.jpg,863.0,594.0
star,multiple_streaks.jpg,39.0,831.0
star,multiple_streaks.jpg,511.0,575.0
star,multiple_streaks.jpg,99.0,741.0
star,multiple_streaks.jpg,117.0,643.0
star,multiple_streaks.jpg,364.0,350.0
star,multiple_streaks.jpg,568.0,466.0
star,multiple_streaks.jpg,114.0,556.0
star,multiple_streaks.jpg,692.0,0.0
star,multiple_streaks.jpg,520.0,520.0
star,multiple_streaks.jpg,290.0,466.0
star,multiple_streaks.jpg,958.0,51.0
star,multiple_streaks.jpg,94.0,394.0
star,multiple_streaks.jpg,760.0,669.0
star,multiple_streaks.jpg,924.0,23.0
star,multiple_streaks.jpg,299.0,177.0
star,multiple_streaks.jpg,665.0,614.0
star,multiple_streaks.jpg,594.0,356.0
star,multiple_streaks.jpg,842.0,578.0
star,multiple_streaks.jpg,318.0,274.0
star,multiple_streaks.jpg,1178.0,200.0
star,multiple_streaks.jpg,736.0,607.0
star,multiple_streaks.jpg,1171.0,103.0
star,multiple_streaks.jpg,83.0,104.0
star,multiple_streaks.jpg,818.0,610.0
star,multiple_streaks.jpg,517.0,0.0
star,multiple_streaks.jpg,451.0,786.0
star,multiple_streaks.jpg,44.0,787.0
star,multiple_streaks.jpg,1197.0,15.0
star,multiple_streaks.jpg,860.0,333.0
star,multiple_streaks.jpg,737.0,93.0
star,multiple_streaks.jpg,737.0,449.0
star,multiple_streaks.jpg,1196.0,520.0
star,multiple_streaks.jpg,359.0,288.0
star,multiple_streaks.jpg,321.0,742.0
star,multiple_streaks.jpg,706.0,245.0
star,multiple_streaks.jpg,632.0,496.0
star,multiple_streaks.jpg,814.0,820.0
star,multiple_streaks.jpg,654.0,496.0
star,multiple_streaks.jpg,616.0,697.0
star,multiple_streaks.jpg,643.0,496.0
star,multiple_streaks.jpg,652.0,782.0
star,multiple_streaks.jpg,1078.0,334.0
star,multiple_streaks.jpg,1085.0,334.0
star,multiple_streaks.jpg,1093.0,334.0
star,multiple_streaks.jpg,1099.0,334.0
star,multiple_streaks.jpg,1147.0,725.0
star,multiple_streaks.jpg,966.0,331.0
star,multiple_streaks.jpg,669.0,209.0
star,multiple_streaks.jpg,684.0,708.0
